price,review,title
"1 304,99 €","4,8 sur 5 étoiles","2020 Apple MacBook Pro avec Apple M1 Chip (13 Pouces, 8 Go RAM, 256 Go SSD) - Argent"
"1 066,00 €","4,8 sur 5 étoiles","2020 Apple MacBook Air avec Apple M1 Chip (13 Pouces, 8 Go RAM, 256 Go SSD) - Or"
"2 899,99 €","4,6 sur 5 étoiles","2019 Apple MacBook Pro (16 Pouces, 16Go RAM, 1To de Stockage) - Gris Sidéral"
"289,00 €","4,2 sur 5 étoiles","Acer Chromebook Spin CP311-3H-K63V Ordinateur Portable Tactile et Convertible 11,6'' HD (Mediatek MT8183, RAM 4 Go, eMMC 32 Go, Chrome OS) Clavier AZERTY Français"
"259,00 €","4,4 sur 5 étoiles","HP 14s-dq0000sf PC Ultraportable 14"" HD Natural Silver (Intel Celeron, RAM 4 Go, 64 Go eMMC, AZERTY, Windows 10 Home S) Microsoft 365 Personnel inclus pendant 1 an"
"321,73 €","4,3 sur 5 étoiles","Acer Chromebook CB315-3H-C417 Ordinateur Portable 15.6'' HD (Celeron N4000, RAM 4 Go, 32 Go eMMC, Chrome OS) Clavier AZERTY Français"
"1 099,99 €","4,6 sur 5 étoiles","Microsoft Surface Pro 7 Ordinateur Portable (Windows 10, écran tactile 12.3"", Intel Core i5, 8Go RAM, 256Go SSD, Platine) PC Hybride polyvalent &amp; performant"
"399,00 €","4,3 sur 5 étoiles","Acer Swift 1 SF114-34-P8Q7 Ordinateur Portable Ultrafin 14'' FHD IPS, PC Portable (Intel Pentium Silver N6000, RAM 4 Go, SSD 128 Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY, Laptop Gris"
"1 032,19 €","4,2 sur 5 étoiles","Lenovo Yoga Slim 7 Notebook, écran 14"" Full HD IPS, processeur AMD Ryzen 7 4700U, 1 To SSD, RAM 16 Go, Windows 10, Slate Grey_ Clavier QWERTY -italien"
"349,00 €","4,5 sur 5 étoiles","HP Chromebook x360 12b-ca0000sf Ordinateur Ultraportable Convertible et Tactile 12"" HD (Intel Celeron, RAM 4 Go, eMMC 32 Go, AZERTY, Chrome OS)"
"329,99 €","4,0 sur 5 étoiles","CHUWI HeroBook Pro Ordinateur Portable Ultrabook 14,1 Pouces Intel Celeron N4020 jusqu'à 2,8 GHz, 4 K 1920 x 1080, Windows 10, 8 Go RAM 256 Go SSD, WiFi, USB 3.0, 38 Wh"
"279,00 €","3,9 sur 5 étoiles","ASUS Chromebook CX1100CNA Ordinateur Portable 11.6 ""HD (Celeron N3350, RAM 4 Go, eMMC 64 Go, Chrome OS) Clavier AZERTY Français"
"529,99 €","3,8 sur 5 étoiles","Ordinateur portable HP 255 G8, écran 15,6 "", Cpu Amd A4, mode rafale jusqu'à 2,60 GHz 8 Go DDR4, SSD M.2 Nvme 500 Go, Bluetooth, WIFI, Windows 10 Pro Prêt à l'emploi"
"499,99 €","4,4 sur 5 étoiles","Lenovo IdeaPad 3i 15IIL05 Ordinateur Portable Ultraslim 15.6'' FHD Gris platine (Intel Core i3, RAM 4Go, SSD 256Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (français)"
,"5,0 sur 5 étoiles","Coolby Ordinateur Portable Ultra-mince, Ordinateur PC Silencieux FHD 14 Pouces, 6 GB RMA et 128 GB, Win10 Pro, Ultra-Fin Laptop, Avec Wifi, Blt4.2, Double USB, HDMI, Laptop Gris Sidéral-YealBook"
"416,00 €","5,0 sur 5 étoiles","CHUWI Ordinateur Portable, HeroBook Plus 15,6 Pouces Ultrabook Intel Celeron J4125 jusqu'à 2,7 GHz, 8G RAM 256G SSD, 1920 x 1080 IPS, Windows 10, WLAN, USB 3.0, Mini HD 38Wh"
"139,96 €","2,9 sur 5 étoiles","Anitech Netbook Ordinateur Portable Ultrabook Android 4.2 HDMI(WiFi-SD-MMC), PC Portable avec (5 PCS Accessoires)"
"269,99 €","3,6 sur 5 étoiles","KUU YOBOOK 13,5"" Ordinateur Portable, Écran FHD 3K, PC Portable inter Pentium J3710, Laptop 4Go de RAM SSD 128Go, Notebook Windows 10 avec clavier rétroéclairé et déverrouillage par empreinte digitale"
"799,00 €","4,5 sur 5 étoiles","ASUS Zenbook UX363JA PC Portable Tactile 13-13.9 FHD IPS (I5 1035G4, RAM 8G, 512G SSD PCIE, WINDOWS 10) Clavier AZERTY Français"
"279,99 €","4,1 sur 5 étoiles","Jumper Ordinateur Portable, Microsoft Office 365, 13,3 Pouces PC portable, Intel Celeron N3350, Windows 10 Laptop, 4Go DDR3 64Go eMMC(1To extensible), Bi-Bande WiFi, Bluetooth 4.2, USB 3.0, Mini-HDMI"
"285,00 €","3,9 sur 5 étoiles","NBD NBook 14,1"" Ordinateur Portable - 4 Go RAM 64 Go Stockage Argent 1080P Full HD IPS Laptop Windows 10 Netbook AZERTY Clavier Français"
,"4,1 sur 5 étoiles","CHUWI PC Ordinateur Portable 14 Pouces 2K QHD Laptop Windows 10 GemiBook Pro (256Go SSD, 8Go RAM, Intel Celeron J4125 2.7Ghz+Intel UHD Graphics ) 2.4/5G WiFi,2160*1440 IPS,Clavier Rétro-éclairé"
"7,79 €","4,5 sur 5 étoiles",deleyCON 2X OTG Adaptateur USB Type C vers USB pour pour Smartphones Tablettes Ordinateurs Portables - Blanc
,"4,7 sur 5 étoiles","Mydours Tapis de Bureau en Cuir PU Tapis de Souris Gaming - 95 x 40 cm - Bureau Pad et Protection d'écran Souris Pad pour Souris, Clavier, PC, Ordinateurs et Ordinateurs Portables - Violet Foncé"
"699,00 €","5,0 sur 5 étoiles",Ordinateur Portable HP 17-CN0477NF i5 8G 512SSD
"569,00 €","4,3 sur 5 étoiles","Asus Vivobook S S515EA-BR1281T PC Portable 15.6"" ( i3-1115G4, RAM 8Go, SSD 512Go, Windows 10) Clavier AZERTY Français"
"779,00 €","4,1 sur 5 étoiles","Acer Swift 3 SF314-42-R7AG Ordinateur Portable Ultrafin 14'' FHD, PC Portable (AMD Ryzen 7 4700U, RAM 16Go, SSD 512Go, AMD Radeon Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Gris"
,"4,4 sur 5 étoiles","TECLAST F15 Pro Ordinateur Portable 15,6 Pouces, 12Go RAM 256Go SSD Windows 10 1920x1080FHD, Intel 10nm Core i3-1005G1 4-Thread CPU Turbo 3.4GHz, 1920×1080FHD, TF+HDMI+USB3.0+Type-C+RJ45 53.5Wh Métal"
"379,00 €",,"Acer Chromebook Spin 513 CP513-1H-S64V Ordinateur Portable Tactile Convertible 13,3'' Full HD IPS, PC Portable (Qualcomm Snapdragon SC7180, RAM 8 Go, 64 Go eMMC, Qualcomm Adreno 618, Chrome OS) - Gris"
,"3,8 sur 5 étoiles","LincPlus P2 Ordinateur Portable,14'' Windows 10 S 4 Go RAM 64 Go eMMC Netbook, 1080P Full HD IPS Intel Celeron N3350 PC, Clavier Français AZERTY"
"599,00 €","3,9 sur 5 étoiles","Lenovo IdeaPad 3i Ordinateur Portable 17.3'' HD+ Gris (Intel Core i3, RAM 4Go, HDD 1To, Intel UHD Graphics, Windows 10) - Clavier AZERTY (français)"
"699,00 €","4,2 sur 5 étoiles",Dell Inspiron 14 5410 2-en-1 Intel Core i5-1135G7 Ordinateur Portable 14.0'' FHD Tactile Platinum Silver 8 Go de RAM 256 Go Intel Iris Xe - UMA Graphics W10 Home Clavier AZERTY Français rétroéclairé
"219,99 €","4,3 sur 5 étoiles","Ordinateur Portable 10.1 Pouces Windows 10 Netbook Quad Core Laptop avec WiFi, HDMI, Netflix,Youtube et Clavier Français AZERTY (Noir)"
"14,99 €","4,4 sur 5 étoiles","AOVUYCK Support Ordinateur Portable, Support PC Portable à 8 Niveaux Réglables, Laptop Stand en Plastique &amp; Silicone Antidérapant &amp; Alliage d'Aluminium, Compatible avec MacBook Air Pro, HP, 10-15,6"""
,"4,1 sur 5 étoiles","CHUWI PC Ordinateur Portable 14 Pouces 2K QHD Laptop Windows 10 GemiBook Pro (256Go SSD, 8Go RAM, Intel Celeron J4125 2.7Ghz+Intel UHD Graphics ) 2.4/5G WiFi,2160*1440 IPS,Clavier Rétro-éclairé"
"849,00 €","4,3 sur 5 étoiles","HP 17-cp0000sf PC Portable 17.3"" FHD IPS Argent (AMD Ryzen 7, RAM 16 Go, SSD 1 To, AZERTY, Windows 10)"
"509,00 €","4,2 sur 5 étoiles","CHUWI Ordinateur Portable CoreBook X 14 Pouces avec Intel Core i5-8259U (jusqu'à 3,8 GHz) 8 Go de RAM 512 Go SSD Résolution 2160 x 1440 Windows 10 Notebook PC Wi-FI BT4.2 Type-C PD2.0 46,2Wh"
"167,99 €","2,9 sur 5 étoiles","Ba30DEllylelly Ordinateur à écran IPS d'ordinateur Portable de 13,3 Pouces 2 + 32 Go 4 Core Windows 10 avec 4 Films de Clavier nationaux WiFi"
"1 104,98 €","4,4 sur 5 étoiles","Dell Inspiron 13 2-en-1 7306 Intel Core i7-1165G7 EVO Ordinateur Portable 13"" Full HD Tactile Platinum Silver 16Go de RAM 512 Go SSD Intel Iris XE - UMA Windows 10 Home Clavier AZERTY Français"
,"4,3 sur 5 étoiles","Jumper Ordinateur Portable 14 Pouces 8 Go DDR4 256 Go SSD, Intel Celeron N4020, Intel UHD 600, Windows 10 Home, BT4.0, mémoire Extensible 256 Go TF avec Disposition de la Membrane du Clavier AZERTY"
"675,00 €","4,4 sur 5 étoiles","Microsoft Surface Laptop Go (Windows 10, écran tactile 12,45"", Intel Core i5, 8 Go RAM, 128 Go SSD, Platine, clavier AZERTY français) L'ordinateur portable Surface le plus léger"
"379,99 €","3,8 sur 5 étoiles","Ordinateur Portable 14.1 Pouces, TECLAST F7 Plus 2 Portable PC, 8Go RAM 256Go SSD, Intel Quad-Core N4120 Ultrabook, FHD 1920x1080, Windows 10, 38000mWh Akku, Bluetooth, Bi-Bande WiFi, 2X USB 3,0"
"344,99 €","5,0 sur 5 étoiles","Ordinateur Portable de 15,6 Pouces (Intel Celeron_j3455 64 Bits, 8 Go de RAM DDR3, 128 Go de SSD, Webcam HD, 5G WiFi ,Windows 10 OS préinstallé, écran 1920 * 1080 FHD IPS)"
"799,00 €","4,5 sur 5 étoiles","Dell G15 Ryzen Edition 5515 AMD Ryzen 5 5600H Portable Gamer 15,6"" Full HD 120Hz Grey 8Go de RAM SSD 256 Go NVIDIA GeForce RTX 3050 4Go GDDR6 Windows 10 Home Clavier AZERTY Français rétroéclairé"
,"4,1 sur 5 étoiles","LincPlus P3 Ordinateur Portable Windows 10 S Notebook,14"" 1080P Full HD IPS, Intel Celeron N3350 4Go RAM 64Go Stockage Netbook, Blanc Clavier Français AZERTY"
"629,00 €","4,4 sur 5 étoiles","Acer Aspire 3 A317-53-34A6 Intel Core i3 Ordinateur Portable 17.3'' HD+, PC Portable (RAM 8 Go, SSD 512 Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Gris"
,"4,1 sur 5 étoiles","LincPlus P1 Ordinateur Portable PC Windows 10 S Netbook 13.3'' 1080P Full HD IPS Laptop ,Intel Celeron N4000 4 Go RAM 64 Go Stockage Gris Clavier Français AZERTY"
"179,00 €","3,3 sur 5 étoiles","HSW 10.1"" Windows 10 Ultra Thin Ordinateur Portable PC - 2 Go de RAM 32 Go de Stockage, Intel Quad Core 1.44 Ghz USB 3.0, WiFi, HDMI, BT, Prend en Charge 128 Go TF Card Ordinateur Portable"
"875,59 €","4,4 sur 5 étoiles","Acer Nitro 5 AN515-55-56RR Intel Core i5 Ordinateur Portable Gaming 15,6'' FHD IPS 144 Hz, PC Portable Gamer (NVIDIA GeForce GTX 1650Ti, RAM 8 Go, 512 Go SSD, Windows 10) - Clavier AZERTY, Noir"
"288,00 €","3,9 sur 5 étoiles","NBD 14 Pouces Ordinateur Portable,Windows 10 Netbook,14,1'' 1080P Full HD IPS Laptop ,Intel Celeron N3350 4 Go RAM 64 Go Stockage Argent Clavier Français"
"379,00 €","4,2 sur 5 étoiles","CHUWI GemiBook Ordinateur Portable Ultrabook 13 Pouces Win 10 Intel Celeron J4115 jusqu'à 2,5 GHz 8 Go RAM 256 Go SSD 2160*1440 2K, Type-C 2.4G/5G WiFi 38 Wh"
"199,90 €","4,3 sur 5 étoiles","NiPoGi Mini PC Windows 10 Pro, Intel Celeron J3455 Portable Business Office Desktop Ordinateur, 6GB RAM 128GB ROM Slim Tower PC, Supports 4K Dual HDMI, 1000 Mbps, Dual WiFi, BT4.2, Wake on LAN"
,"4,3 sur 5 étoiles","Kaulrey Clé USB 1To, Métal Clef USB 3.0 Haute Vitesse Imperméable Cle USB Flash Drive avec Porte-clés Pen Drive Extension de Stockage pour Ordinateur Portable PC Voiture,Argent (1000go)"
"699,99 €","4,4 sur 5 étoiles","Lenovo IdeaPad 3 17ALC6 Ordinateur Portable 17.3'' HD+ Gris (AMD Ryzen 5, RAM 8Go, SSD 512Go, AMD Radeon Graphics, W10) - Clavier AZERTY"
"469,00 €","3,4 sur 5 étoiles","ASUS Vivobook E510MA PC Portable 15'' HD (Pentium N5030, RAM 8G, 256G SSD PCIE, WINDOWS 10) Clavier AZERTY Français"
"269,00 €","4,4 sur 5 étoiles","Lenovo Chromebook IdeaPad Duet Ordinateur Portable 2-en-1 10.1"" FHD avec clavier détachable (MediaTek P60T, RAM 4 Go, eMCP 128 Go, Chrome OS) Clavier AZERTY Français"
"699,00 €","4,4 sur 5 étoiles","Acer Aspire 5 A515-55-58R8 Intel Core i5 Ordinateur Portable 15.6'' FHD, PC Portable (RAM 16Go, SSD 512Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Noir"
"288,00 €","3,9 sur 5 étoiles","NBD 14 Pouces Ordinateur Portable,Windows 10 Netbook,14,1'' 1080P Full HD IPS Laptop ,Intel Celeron N3350 4 Go RAM 64 Go Stockage Argent Clavier Français"
,"3,9 sur 5 étoiles","TECLAST F15S Ordinateur Portable 15,6 Pouces Ultra Slim Notebook, 6Go RAM 128Go SSD(1To extensible) Windows10 Quad Core PC, 1920x1080FHD, Intel J3455 Turbo 2,3GHz, USB 3.0, Mini-HDMI, WIFI, Tout Métal"
"419,00 €","4,5 sur 5 étoiles","Acer Aspire 3 A315-58-35EP Intel Core i3 Ordinateur Portable 15,6'' FHD, PC Portable (RAM 4 Go, SSD 128 Go, Intel UHD Graphics, Windows 10) - Clavier AZERTY (Français), Laptop Gris"
"24,99 €",,"Ensemble Petit Clavier Souris sans Fil pour Windows, Ultra-Mince, Mini Clavier Portable AZERTY pour Ordinateur Portable PC-Noir et Argent"
,"4,6 sur 5 étoiles","HUAWEI MateBook D 15 2020 PC Portable 15.6'' 1080p FHD (Intel Core i3-10110U, RAM 8Go, SSD 256Go, Windows 10 Home, Clavier Français AZERTY), Argent"
,"3,9 sur 5 étoiles","TECLAST F15 Plus Ordinateur Portable, 15,6"" PC Portable, Intel Celeron N4120, RAM 8Go, SSD 256Go, Full HD IPS 1080P, 4K, Quad Core, 64 Bits, Windows 10 Home, 38000mWh, Mini-HDMI, QWERTY"
"229,00 €","4,3 sur 5 étoiles","Lenovo Chromebook IdeaPad 3 14IGL05 Ordinateur Portable 14'' HD Gris Platine (Celeron N4020, RAM 4 Go, eMMC 64 Go, Chrome OS) Clavier AZERTY Français"
"499,00 €","3,9 sur 5 étoiles","Dell Inspiron 15 3511 Intel Core i3-1115G4 Ordinateur Portable 15,6"" Full HD Black 8Go de RAM SSD 256Go Intel UHD Graphics Windows 10 Home Clavier AZERTY Français"
